term,estimate,standard_error,t_statistic,p_value_two_sided
Intercept,0.3649598556052764,0.1284716078060248,2.840782191784489,0.004610601608974911
vote_gov[T.1],-0.46982848937437033,0.140950081191926,-3.333297046736879,0.0008962872345436435
vote_frparty[T.1],0.2768751925166826,0.3610479375138509,0.7668654595376572,0.44337984048184054
C(cntry)[T.CH],0.029817470791439066,0.2729916630876152,0.10922484025407513,0.9130505911542515
C(cntry)[T.DE],0.4396686885499872,0.30372904796654,1.4475687837352418,0.1481157371001924
C(cntry)[T.DK],0.10070428131675842,0.1814607934066225,0.5549644054024243,0.5790687100338954
C(cntry)[T.ES],-0.3673914379088056,0.16225372601256147,-2.2643020098063116,0.023813097936916904
C(cntry)[T.FI],0.4850643995764046,0.22722890370214258,2.134694977942768,0.033078627312483636
C(cntry)[T.FR],0.3184933377723632,0.2656952906511238,1.1987165334840912,0.23098073306842618
C(cntry)[T.GB],0.41111942375873667,0.34981568141214375,1.1752458383201136,0.2402338076786468
C(cntry)[T.GR],1.020402854624834,0.2690650227059509,3.792402462285061,0.00016002710552486175
C(cntry)[T.IE],-0.3211492923890434,0.3952915199756185,-0.812436584546139,0.41677439748446765
C(cntry)[T.NL],0.15544366000826215,0.31358150184455413,0.4957041760879037,0.620234520711616
C(cntry)[T.NO],-0.019835853918980514,0.21355682102086768,-0.09288326087717075,0.9260187457648947
C(cntry)[T.PT],-7.079580271455133e-16,6.819377641076749e-16,-1.0381563603122732,0.299499968919379
C(cntry)[T.SE],-0.42044799856467313,0.2644563653926903,-1.5898577367965843,0.11224813785907328
imm_concern,0.17792856072761387,0.038886263062630745,4.575614798496829,5.474099258981536e-06
happy_rev,-0.08583263869172854,0.05462924943539847,-1.5711846598447132,0.1165213321968889
stflife_rev,0.15994331664529599,0.052591167579731944,3.0412581428775196,0.0024300964482605824
sclmeet_rev,0.0732315147577756,0.04776088806926333,1.5332946626028918,0.12558479035844833
distrust_soc,0.06329217364440407,0.04629680862376013,1.3670958220632445,0.171965850176727
stfeco_rev,0.22556695668416576,0.03930169771512347,5.739369284227297,1.3325108746264384e-08
hincfel,0.02102474204672347,0.1010634123367554,0.2080351490276868,0.835252619935097
stfhlth_rev,0.005238467362757293,0.0349304967522064,0.14996830419900636,0.8808261002400634
stfedu_rev,0.1401775157407889,0.03751927747204446,3.7361464608489565,0.00019966447931420077
lrscale,-0.029770685500632978,0.03443027497429145,-0.8646659233149396,0.387472305147323
hhinc_std,-0.1463370459806708,0.08221388359858192,-1.7799553989588555,0.0754494828204994
agea,-0.005041409366106191,0.003939266780303978,-1.2797836874904838,0.20097925196159755
educ,-0.10373042646164495,0.051296766149956645,-2.022163076682225,0.04348022008391898
female,-0.04432981660137847,0.1325495070139497,-0.334439694269954,0.7381323825094597
vote_share_fr,-0.0398485424352539,0.014700565544830365,-2.7106809131752847,0.006853335128506496
socexp,-5.675103895399796e-05,7.215009411237367e-05,-0.7865691604727264,0.431758905034032
lt_imm_cntry,-0.2880515611107509,0.251062276437623,-1.1473311132121355,0.25157580588742634
wgi,-0.11116927874087207,0.1778958175308991,-0.6249122676622954,0.5322006010591909
gdppc,7.316366025998605e-05,2.195324109795505e-05,3.332704266013881,0.0008981733436277804
unemp,0.022816076776214937,0.027179115008399306,0.839470923507405,0.4014471135084855
