term,coefficient_log_odds,cluster_robust_se,z_value,p_value_two_sided,ci_95_low_log_odds,ci_95_high_log_odds,odds_ratio
const,1.71792920589,0.135902297632,12.6409136256,1.2558612475e-36,1.45156559711,1.98429281466,5.57297602111
JobSat,-0.397926829045,0.0158547961123,-25.0981990703,5.2036533232e-139,-0.429001658408,-0.366851999683,0.671711175612
Over40,-0.301472028667,0.0781195501364,-3.85911117179,0.000113800163903,-0.454583533423,-0.148360523911,0.739728517258
NonMinority,-0.280070562602,0.0374268581682,-7.4831438253,7.25653903154e-14,-0.353425856666,-0.206715268538,0.75573041327
SatPay,-0.00866329252698,0.0156283904561,-0.554330438014,0.579352722941,-0.0392943749573,0.0219677899033,0.991374125659
SatAdvan,-0.397480679344,0.0139222652852,-28.5500003917,2.80891717337e-179,-0.424767817886,-0.370193540802,0.672010926214
PerfCul,0.00582051403007,0.0121032048931,0.480906840914,0.630582710555,-0.0179013316579,0.029542359718,1.00583748613
Empowerment,0.0169023502535,0.0200253262715,0.844048682368,0.398642202339,-0.0223465680174,0.0561512685243,1.01704600319
RelSup,-0.0675214878004,0.0132027342882,-5.11420485533,3.15065290101e-07,-0.0933983715028,-0.041644604098,0.934707635589
Relcow,-0.0205465900209,0.0060253884957,-3.41000253106,0.000649622766049,-0.0323561344654,-0.0087370455765,0.979663052889
Over40xSatAdvan,-0.0446993451623,0.0119864688424,-3.729150407,0.000192126453479,-0.0681923923953,-0.0212062979293,0.956284950313
