country,tightness,efficiency,gdp,gini_val,alternative_gini,median_age,gini,efficiency_x_tightness,infection_growth_slope,slope_standard_error,days_used
Algeria,0.694447099,3.274635201,3980.12,27.6,,28.3,27.6,2.2740609156177323,0.1352594957780896,0.005354328934429466,30
Argentina,-0.531806346,2.336128838,9887.79,41.4,,31.9,41.4,-1.242368141122006,0.13472832862792866,0.006909652974316888,30
Armenia,0.205163972,3.401135002,4527.59,34.4,,35.6,34.4,0.697790366318548,0.16330784666378528,0.012759752975538448,30
Australia,-0.053445728,4.25568066,53825.16,34.4,,38.8,34.4,-0.2274479510092205,0.18801978029801353,0.003349027784106012,30
Austria,0.210177967,4.312938023,50022.61,29.7,,44.2,29.7,0.9064845454711392,0.24484446867434423,0.006429583545282259,30
Bosnia and Herzegovina,-0.431134579,2.53633299,5741.76,33.0,,42.5,33.0,-1.0935008558474613,0.13680826516788464,0.0070764415477104535,30
Botswana,0.86045016,4.087369334,7859.18,53.3,,24.9,53.3,3.5169775974193933,0.06998862761300487,0.004856127531475865,30
Brazil,-0.376231695,2.496853694,8796.91,53.9,,32.4,53.9,-0.9393954974606312,0.15178883105796392,0.006243277851395469,30
Canada,-0.135152584,4.702926362,46212.84,33.8,,42.4,33.8,-0.6356126501860194,0.21110246675059274,0.0033500952979629885,30
Chile,-0.339407811,4.148466375,15399.24,44.4,,34.8,44.4,-1.408021891345855,0.18569035831216102,0.009046208112649362,30
China,0.186152449,4.006861266,10098.87,38.5,,37.7,38.5,0.7458870374691403,0.11417386264098112,0.00822285463576273,30
Colombia,-0.583601985,3.039393647,6508.13,50.4,,30.4,50.4,-1.7737961655855894,0.1305430910938432,0.005423678562920966,30
Czech Republic,-0.462699395,3.681881098,23213.95,24.9,,42.5,24.9,-1.7036041565065356,0.1989250575694412,0.008440532717508959,30
Ecuador,-0.177708163,2.879376765,6249.39,45.4,,28.1,45.4,-0.5116887554930327,0.18048454775486905,0.012704360143342216,30
Estonia,-0.469581699,4.401768271,23523.6,30.4,,43.0,30.4,-2.0669898233004727,0.20681402359625298,0.013437555289610026,30
Finland,-0.283406106,5.320377733,48868.74,27.4,,42.6,27.4,-1.5078275357586377,0.20302342616483554,0.009399579306463964,30
Germany,0.12889995,4.728817911,46563.99,31.9,,47.4,31.9,0.6095443922870045,0.22782554786634815,0.005017961249717459,30
Ghana,1.242676502,3.773055774,2223.42,43.5,,21.2,43.5,4.688687751085222,0.09256582581825035,0.003169720204944543,30
Greece,-0.278680907,2.762990227,19974.37,34.4,,44.9,34.4,-0.7699926224924958,0.12792599582259465,0.005634671568387543,30
Hungary,-0.603726491,2.902592433,17463.28,30.6,,42.7,30.6,-1.7523719443782426,0.15351535904893016,0.006200432330762157,30
Iceland,0.040180138,4.613276837,67037.34,26.8,,36.7,26.8,0.18536209994286348,0.20604712631777894,0.013566392689210779,30
India,0.731557362,3.992122169,2171.64,37.8,,28.1,37.8,2.920466362735358,0.1005674438097835,0.0036298956475032717,30
Indonesia,0.502248457,3.922269861,4163.76,39.0,,30.5,39.0,1.9699539856248545,0.09452970196376685,0.002634296420194669,30
Iran,0.37609029,3.145049375,5506.23,40.8,,30.8,40.8,1.1828225315080687,0.17161241612985584,0.013288720384608042,30
Ireland,-0.182475794,4.718019342,77771.21,32.8,,37.1,32.8,-0.8609243255388075,0.22501181452528574,0.007374627373007006,30
Israel,-0.399564115,3.748201607,42823.31,39.0,,30.1,39.0,-1.4976468579425328,0.23337212089747403,0.003691090031123618,30
Italy,-0.060344423,2.201114318,32946.52,35.9,,45.8,35.9,-0.13282497347674851,0.2137841482343194,0.007709496626447195,30
Ivory Coast,0.266124358,4.184318164,1691.31,41.5,,19.9,41.5,1.1135489850622386,0.0891563079027623,0.0026740926516881877,30
Japan,0.190571687,4.634031911,40846.78,32.9,,47.7,32.9,0.8831152788911039,0.07672836465098087,0.0018938118335133875,30
Kazakhstan,0.16748056,,9139.11,27.5,,30.9,27.5,,0.13284141710561548,0.004770808018676765,30
Kenya,0.529029156,3.825732816,1997.55,40.8,,20.0,40.8,2.023924202729983,0.050138472380610186,0.0029684660385060715,30
Latvia,-0.039066119,3.456399357,18171.65,35.6,,43.9,35.6,-0.1350281085920855,0.1810800292887657,0.009700156996762155,30
Malaysia,0.222572209,5.096361681,11136.81,41.0,,28.7,41.0,1.1343084772031233,0.15954225787105303,0.005705147320440154,30
Mexico,-0.347769818,3.109504047,10118.17,45.4,,28.6,45.4,-1.0813916564954535,0.12580083811091336,0.0031317124033756433,30
Mozambique,0.531379852,3.148153539,484.405,54.0,,17.3,54.0,1.6728653616270963,0.041417274625797085,0.003092026332031343,30
Netherlands,-0.544559055,4.944898864,52367.85,28.5,,42.7,28.5,-2.6927894524504135,0.2107941772014554,0.008818763986250207,30
Nigeria,0.543000249,3.020569217,2222.01,43.0,,18.3,43.0,1.6401698369527349,0.08924344325334749,0.0021342166581228617,30
Peru,-0.337518933,2.80518837,7046.79,42.8,,28.4,42.8,-0.9468041855064093,0.16196257243322476,0.004626191695397845,30
Poland,-0.324655209,3.199944642,14901.55,29.7,,41.1,29.7,-1.0388786965369403,0.15680757541778456,0.006112866061071457,30
Portugal,0.100365352,3.228849265,23030.79,33.8,,43.7,33.8,0.3240645930366663,0.23731417156650148,0.00791296247490132,30
Qatar,0.8512609,5.662815046,69687.55,,41.1,33.4,41.1,4.820533032591501,0.19468807101600227,0.018916839074212276,30
Russia,-0.469291149,3.164031726,11162.65,37.5,,39.8,37.5,-1.4848520841669932,0.17899273364720628,0.0027894292495210015,30
Saudi Arabia,0.616244523,4.418430699,22865.18,,45.9,29.9,45.9,2.7228337185138116,0.14648594589229383,0.006076353513532846,30
Singapore,0.356392049,5.766091678,63987.07,,46.4,34.9,46.4,2.0549892278442683,0.0822378580349104,0.0047289454784565825,30
Slovakia,-0.36028055,2.636217896,19547.66,25.2,26.1,41.0,25.2,-0.9497780334907227,0.12578952079091996,0.009512236608565934,30
South Korea,0.189389237,3.379812899,31430.6,31.6,,42.3,31.6,0.640100186144368,0.12808126424281246,0.013758677804400165,30
Spain,-0.298585036,3.216561508,29961.11,34.7,,43.1,34.7,-0.9604171336623943,0.2555745170491419,0.009181513221410573,30
Sri Lanka,0.647660832,3.865479418,3946.59,39.8,,33.1,39.8,2.503519615940756,0.05758360052187948,0.0037410250959372606,30
Sweden,0.338195036,,51241.91,28.8,,41.1,28.8,,0.20299289282488894,0.012034305350098078,30
Thailand,0.253626032,3.43156454,7791.95,36.4,,38.1,36.4,0.8703340978321054,0.13490688448827864,0.00811613713275,30
Trinidad and Tobago,-0.196318847,3.20767521,16365.64,40.3,,36.6,40.3,-0.6297270987776828,0.130548594493868,0.013745135868330045,30
Turkey,0.287066572,3.675668315,8957.89,41.9,,31.4,41.9,1.0551615029960661,0.2044570045713201,0.011356226781856068,30
UAE,0.484608742,5.286216883,37749.88,32.5,,37.2,32.5,2.561746913609791,0.09791108183163821,0.002891411379061341,30
Ukraine,-0.440472837,2.866647266,3592.17,26.1,,40.8,26.1,-1.2626802539333137,0.15422417927737336,0.007298083082269751,30
United Kingdom,-0.206607219,4.823960274,41030.23,34.8,,40.5,34.8,-0.9966650167776181,0.20829632302568196,0.0052427436252350966,30
United States,-0.132549985,4.263459752,65111.6,41.4,,38.2,41.4,-0.5651215261757038,0.2500865121088809,0.006145060374616602,30
Vietnam,0.388185296,3.407291069,2739.82,35.7,,30.9,35.7,1.3226602921779214,0.02413438720504053,0.002423684786078683,30
