latent_class,assigned_label,item,hard_assignment_mean
1,post_secular,HOTCORE,0.8674242424242424
1,post_secular,RADIOACT,0.8939393939393939
1,post_secular,BOYORGRL,0.7670454545454546
1,post_secular,LASERS,0.4962121212121212
1,post_secular,ELECTRON,0.5265151515151515
1,post_secular,VIRUSES,0.7462121212121212
1,post_secular,EARTHSUN,0.8181818181818182
1,post_secular,CONDRIFT,0.7159090909090909
1,post_secular,BIGBANG,0.13068181818181818
1,post_secular,EVOLVED,0.03787878787878788
1,post_secular,EXPDESGN,0.884469696969697
1,post_secular,ODDS1,0.9583333333333334
1,post_secular,ODDS2,0.875
1,post_secular,SCISTUDY,2.7954545454545454
1,post_secular,NEXTGEN,1.7954545454545454
1,post_secular,TOOFAST,2.4242424242424243
1,post_secular,ADVFRONT,2.0208333333333335
1,post_secular,SCIBNFTS,3.522727272727273
1,post_secular,BIBLE,1.5132575757575757
1,post_secular,RELITEN,3.5113636363636362
2,traditional,HOTCORE,0.7406593406593407
2,traditional,RADIOACT,0.46373626373626375
2,traditional,BOYORGRL,0.44945054945054946
2,traditional,LASERS,0.2945054945054945
2,traditional,ELECTRON,0.3241758241758242
2,traditional,VIRUSES,0.21868131868131868
2,traditional,EARTHSUN,0.5626373626373626
2,traditional,CONDRIFT,0.7483516483516484
2,traditional,BIGBANG,0.2835164835164835
2,traditional,EVOLVED,0.4076923076923077
2,traditional,EXPDESGN,0.689010989010989
2,traditional,ODDS1,0.7054945054945055
2,traditional,ODDS2,0.5395604395604395
2,traditional,SCISTUDY,3.2153846153846155
2,traditional,NEXTGEN,1.8362637362637362
2,traditional,TOOFAST,2.843956043956044
2,traditional,ADVFRONT,2.078021978021978
2,traditional,SCIBNFTS,2.7604395604395604
2,traditional,BIBLE,1.6417582417582417
2,traditional,RELITEN,3.048351648351648
3,modern,HOTCORE,0.9602888086642599
3,modern,RADIOACT,0.9217809867629362
3,modern,BOYORGRL,0.6642599277978339
3,modern,LASERS,0.6931407942238267
3,modern,ELECTRON,0.7075812274368231
3,modern,VIRUSES,0.7448856799037304
3,modern,EARTHSUN,0.9494584837545126
3,modern,CONDRIFT,0.98676293622142
3,modern,BIGBANG,0.7569193742478941
3,modern,EVOLVED,0.8784596871239471
3,modern,EXPDESGN,0.8892900120336944
3,modern,ODDS1,0.9530685920577617
3,modern,ODDS2,0.8784596871239471
3,modern,SCISTUDY,2.5487364620938626
3,modern,NEXTGEN,1.6317689530685922
3,modern,TOOFAST,2.292418772563177
3,modern,ADVFRONT,1.5667870036101084
3,modern,SCIBNFTS,3.7809867629362213
3,modern,BIBLE,2.4392298435619737
3,modern,RELITEN,2.3646209386281587
