term,estimate,standard_error,t_statistic,p_value,ci_95_lower,ci_95_upper
Intercept,0.40374525209375817,0.0849506367269065,4.752704248606055,2.6625766221115786e-06,0.23682062953617727,0.570669874651339
C(cu_code)[T.4],0.05514125525841133,0.08370950100382309,0.6587215859271814,0.5103930687292524,-0.10934458496508953,0.21962709548191217
C(cu_code)[T.5],0.03709760542193599,0.08328203630857196,0.44544546538804614,0.6562003762696269,-0.12654828367629112,0.2007434945201631
C(cu_code)[T.6],-0.25693468728262153,0.16689780127882103,-1.5394731704906288,0.12435329557835736,-0.5848822290263954,0.07101285446115235
C(cu_code)[T.9],-0.01311682986540539,0.0917987341788731,-0.14288682717396495,0.8864400257317403,-0.1934976915572716,0.16726403182646082
C(cu_code)[T.10],-0.2734539494895098,0.3109378787839127,-0.8794488164613341,0.37960172737100756,-0.8844345148467099,0.33752661586769034
C(cu_code)[T.11],0.021292653761105024,0.09102731467190926,0.233914993953742,0.8151515421080094,-0.15757239928005676,0.20015770680226683
C(cu_code)[T.12],0.06715270708044271,0.08268046635134357,0.8121955528780284,0.4170854206727839,-0.0953111209771457,0.22961653513803112
C(cu_code)[T.13],0.05992226422163709,0.07456322977967796,0.803643624326595,0.4220039549203022,-0.08659151680697226,0.20643604525024645
C(cu_code)[T.14],0.14072372392106677,0.09759078085546634,1.441977640587599,0.14996628335522286,-0.05103827913215653,0.3324857269742901
C(cu_code)[T.15],0.06106753545894273,0.09156351639365731,0.6669417893082679,0.5051324748603884,-0.11885113263992902,0.24098620355781447
C(cu_code)[T.17],0.5787404560028891,0.08253617741191101,7.011960986690542,8.097964658705549e-12,0.4165601499727041,0.7409207620330742
C(cu_code)[T.18],0.023997526532229082,0.08439780926202049,0.28433826354101954,0.7762748160443391,-0.1418408120436058,0.18983586510806397
C(cu_code)[T.19],0.14851444708932557,0.08555134512404634,1.7359685797340183,0.08321647152560872,-0.019590543577585523,0.3166194377562367
C(cu_code)[T.21],0.062424305922116785,0.07516301288520773,0.8305189417759762,0.40666180406839325,-0.08526802505460918,0.21011663689884275
C(cu_code)[T.26],0.1736407928625931,0.2642947704169774,0.6569967032970055,0.5115005595848983,-0.34568791961806483,0.692969505343251
C(cu_code)[T.27],-0.11407060235499449,0.09585365536477554,-1.190049580486978,0.23462010512913511,-0.3024192229070261,0.07427801819703712
C(cu_code)[T.29],-0.0022698032392020496,0.11493277835001771,-0.019748963453137473,0.9842519065712692,-0.2281081416526714,0.22356853517426728
C(cu_code)[T.30],-0.04048438361564196,0.09162988975298245,-0.4418250826753204,0.6588164385958606,-0.22053347272582224,0.1395647054945383
C(cu_code)[T.31],0.020895072014656495,0.08469395808868874,0.2467126638806497,0.8052369676784472,-0.1455251872273105,0.18731533125662347
C(cu_code)[T.32],0.5937527062057619,0.08251738150027614,7.195486519452571,2.436228023216068e-12,0.43160933339439855,0.7558960790171253
act_subsidy,0.5263243168826895,0.04372632640296409,12.036783333507099,2.569836847652357e-29,0.4404038245606756,0.6122448092047035
refrigerator,0.04204836802856402,0.023831432646530357,1.764407899945784,0.0783046463770572,-0.004779449311014761,0.0888761853681428
mobile,0.0025020417004786855,0.007634596873968761,0.3277241407479878,0.7432643411362695,-0.012499637517811147,0.01750372091876852
vip_toilet,0.08539439763440593,0.06789878285879393,1.257671994091512,0.20912705469371234,-0.04802401024944572,0.21881280551825757
composting_toilet,0.1814989916780684,0.06719777456250431,2.700967299285281,0.007160364961655457,0.04945803721630296,0.3135399461398338
other_toilet,-0.007230442858805475,0.033613170514304826,-0.21510743402585009,0.8297756892950668,-0.07327898607457167,0.05881810035696072
cement_wall,0.03612756876005274,0.052396263273468635,0.6895065888858203,0.49084051322538086,-0.0668290046964613,0.1390841422165668
num_sheep,0.007120881465179414,0.010471620770816833,0.6800171263864394,0.4968242013756767,-0.013455436877836457,0.027697199808195287
