fips,state_votes,state_po,county_votes,trump_share,trumpvotes,totalvotes,county_income,income_per_capita,county_college,percent_college,county_demographics,percent_male,percent_black,percent_hispanic,population,percent_under_5,percent_5_9,percent_10_14,percent_15_19,percent_20_24,percent_25_34,percent_35_44,percent_45_54,percent_55_59,percent_60_64,percent_65_74,percent_75_84,percent_85_over,percent_14_under,percent_15_24,percent_55_64,percent_75_over,county_industry,percent_retail,percent_transportation,percent_hes,county_rural,pop_rural,total_pop,percent_rural,pop_with_char,county_rural_housing,housing_rural,total_housing,percent_housing_rural,housing_with_char,baseline_mean_distance,study_mean_distance,social_distancing
1001,Alabama,AL,Autauga,0.7276658791494814,18172.0,24973.0,"Autauga County, Alabama",29372.0,"Autauga County, Alabama",27.7,"Autauga County, Alabama",48.7,19.9,2.8,55200,5.9,7.3,6.5,7.0,6.0,12.8,13.4,14.2,7.5,4.9,8.5,4.6,1.5,19.7,13.0,12.4,6.1,"Autauga County, Alabama",8.9,7.0,20.1,"Autauga County, Alabama",22921,54571,0.4200216232064649,False,"Autauga County, Alabama",9494,22135,0.428913485430314,False,11.70264821486349,10.401765967015567,11.116135629845537
1003,Alabama,AL,Baldwin,0.765457123352413,72883.0,95215.0,"Baldwin County, Alabama",31203.0,"Baldwin County, Alabama",31.3,"Baldwin County, Alabama",48.6,9.8,4.5,208107,5.6,5.6,6.9,6.1,5.2,11.2,12.2,13.6,6.9,7.1,11.8,5.8,1.9,18.1,11.3,14.0,7.699999999999999,"Baldwin County, Alabama",13.7,4.9,20.1,"Baldwin County, Alabama",77060,182265,0.4227909911392752,False,"Baldwin County, Alabama",43269,104061,0.4158041917721337,False,11.226762106875146,10.756600997309636,4.187860267187705
1005,Alabama,AL,Barbour,0.5209666634826631,5454.0,10469.0,"Barbour County, Alabama",18461.0,"Barbour County, Alabama",12.2,"Barbour County, Alabama",53.1,48.5,4.3,25782,5.4,5.6,6.5,5.6,6.4,14.3,12.0,13.4,6.4,6.4,10.9,5.4,1.6,17.5,12.0,12.8,7.0,"Barbour County, Alabama",10.6,6.9,18.6,"Barbour County, Alabama",18613,27457,0.6778963470153331,False,"Barbour County, Alabama",7836,11829,0.6624397666751205,True,13.187732718272104,11.083649411623776,15.954852525431003
1007,Alabama,AL,Bibb,0.7640322031976414,6738.0,8819.0,"Bibb County, Alabama",20199.0,"Bibb County, Alabama",11.5,"Bibb County, Alabama",53.9,22.7,2.4,22527,5.7,5.2,5.7,6.7,6.6,13.7,12.9,15.3,6.6,5.4,9.4,4.9,1.9,16.6,13.3,12.0,6.800000000000001,"Bibb County, Alabama",9.1,4.9,22.8,"Bibb County, Alabama",15663,22915,0.683526074623609,False,"Bibb County, Alabama",6832,8981,0.7607170693686672,False,12.42287524613617,11.628177704484438,6.397050005785928
1009,Alabama,AL,Blount,0.8933484445833985,22859.0,25588.0,"Blount County, Alabama",22656.0,"Blount County, Alabama",12.6,"Blount County, Alabama",49.3,1.9,9.1,57645,6.0,6.3,6.9,6.4,5.5,11.8,12.4,13.8,6.8,6.3,10.6,5.6,1.5,19.200000000000003,11.9,13.1,7.1,"Blount County, Alabama",11.8,6.9,19.7,"Blount County, Alabama",51562,57322,0.8995150204110115,False,"Blount County, Alabama",21500,23887,0.900071168417968,False,14.710217009973437,13.918187218972838,5.384215545315262
1011,Alabama,AL,Bullock,0.2420382165605095,1140.0,4710.0,"Bullock County, Alabama",20346.0,"Bullock County, Alabama",13.3,"Bullock County, Alabama",54.7,76.2,0.5,10352,5.8,6.1,5.2,7.5,6.8,10.8,15.4,12.8,5.7,8.2,9.8,4.2,1.7,17.099999999999998,14.3,13.9,5.9,"Bullock County, Alabama",6.5,5.2,16.2,"Bullock County, Alabama",5607,10914,0.5137438152831226,False,"Bullock County, Alabama",2922,4493,0.6503449810816826,False,20.26988338361149,17.994333373757673,11.2262609842819
1013,Alabama,AL,Butler,0.5612688960146587,4901.0,8732.0,"Butler County, Alabama",20430.0,"Butler County, Alabama",16.1,"Butler County, Alabama",46.8,46.0,0.3,20025,6.0,6.5,6.4,6.5,5.4,12.1,12.0,12.1,7.3,6.8,10.4,5.8,2.8,18.9,11.9,14.1,8.6,"Butler County, Alabama",11.2,4.6,20.4,"Butler County, Alabama",14921,20947,0.7123215734950112,False,"Butler County, Alabama",7196,9964,0.7221999197109594,False,13.952376010095907,13.468837811568068,3.465633367234023
1015,Alabama,AL,Calhoun,0.6866329600534848,32865.0,47864.0,"Calhoun County, Alabama",24706.0,"Calhoun County, Alabama",18.0,"Calhoun County, Alabama",48.1,21.8,3.7,115098,5.7,5.9,6.2,6.8,6.6,13.0,12.0,13.0,6.8,7.0,10.0,5.1,1.8,17.8,13.4,13.8,6.9,"Calhoun County, Alabama",12.6,4.6,21.7,"Calhoun County, Alabama",39955,118572,0.3369682555746719,False,"Calhoun County, Alabama",17246,53289,0.3236315186999193,False,10.9371331936009,9.6290119976513,11.960366329953404
1017,Alabama,AL,Chambers,0.5642446043165468,7843.0,13900.0,"Chambers County, Alabama",22827.0,"Chambers County, Alabama",13.2,"Chambers County, Alabama",48.1,40.1,2.3,33826,5.8,5.1,6.2,5.8,7.5,10.9,11.7,13.7,7.8,6.5,11.2,5.7,2.1,17.099999999999998,13.3,14.3,7.800000000000001,"Chambers County, Alabama",10.4,3.6,18.8,"Chambers County, Alabama",16816,34215,0.4914803448779775,False,"Chambers County, Alabama",7987,17004,0.4697130087038343,False,12.93929133561131,12.370876251284649,4.392938296104967
1019,Alabama,AL,Cherokee,0.8341563402590143,8953.0,10733.0,"Cherokee County, Alabama",23356.0,"Cherokee County, Alabama",12.9,"Cherokee County, Alabama",49.6,5.2,1.5,25853,4.7,5.7,5.9,6.2,5.3,9.8,11.3,14.1,7.9,7.4,13.3,6.6,1.9,16.3,11.5,15.3,8.5,"Cherokee County, Alabama",11.0,7.4,23.3,"Cherokee County, Alabama",22282,25989,0.8573627303859325,False,"Cherokee County, Alabama",14323,16267,0.8804942521669638,False,13.806447718128238,11.761760498360093,14.809654601331053
