term,estimate,std_error_HC1,p_value,ci_lower_95,ci_upper_95
Intercept,139.8322071500071,159.25481033480875,0.3799216251574723,-172.30148547097525,451.96589977098944
C(state_po)[T.AL],-25.579540246247063,14.56924332449827,0.07913589760074094,-54.13473244426427,2.97565195177015
C(state_po)[T.AR],-32.135325342171974,14.568605536867018,0.027398509973331413,-60.68926749940215,-3.5813831849417994
C(state_po)[T.AZ],-29.833702037689402,14.636106125165297,0.04151361059128721,-58.51994291691947,-1.1474611584593362
C(state_po)[T.CA],-39.227114743265254,14.557058791254578,0.007044900439856727,-67.7584256949564,-10.695803791574107
C(state_po)[T.CO],-28.50059584719353,14.643794937671569,0.05162381501184419,-57.20190652201977,0.20071482763270865
C(state_po)[T.CT],-30.638323173857614,14.524520958787571,0.0349082961316326,-59.10586114577843,-2.170785201936802
C(state_po)[T.DC],-31.23696112990473,14.651156424526082,0.033002943545327075,-59.952700053838484,-2.521222205970979
C(state_po)[T.DE],-27.3027055994005,14.565467564375894,0.0608640318038961,-55.8504974435636,1.245086244762593
C(state_po)[T.FL],-30.81790763887986,14.563603598510513,0.034337085512144004,-59.3620461770784,-2.2737691006813243
C(state_po)[T.GA],-27.575475890609603,14.566739021271694,0.05835203672987701,-56.125759744496364,0.9748079632771542
C(state_po)[T.HI],-28.975457753577462,14.554214083054172,0.046495864461935106,-57.501193179649285,-0.4497223275056399
C(state_po)[T.IA],-32.18183068591577,14.541473898642865,0.02689030275607414,-60.682595809385035,-3.6810655624465056
C(state_po)[T.ID],-30.807641624051662,14.71622181512815,0.036309202608033976,-59.650906370205504,-1.9643768778978234
C(state_po)[T.IL],-30.2932423080243,14.5294220847788,0.03707306628520103,-58.77038631037162,-1.8160983056769844
C(state_po)[T.IN],-29.77287542565953,14.518958443160036,0.04030390765160077,-58.229511067286936,-1.3162397840321276
C(state_po)[T.KS],-28.35952274525054,14.611928233848115,0.05227679115449464,-56.99837582827681,0.27933033777572547
C(state_po)[T.KY],-31.305422572328652,14.532687233477292,0.031229304014064818,-59.788966148529184,-2.821878996128124
C(state_po)[T.LA],-29.10322639596596,14.578372097734613,0.04589812787926682,-57.67631066074944,-0.5301421311824832
C(state_po)[T.MA],-30.055970127619307,14.554225946383525,0.03891329162917189,-58.5817288053894,-1.5302114498492152
C(state_po)[T.MD],-29.237245565648237,14.53185898679532,0.044226137436818996,-57.719165808181785,-0.7553253231146861
C(state_po)[T.ME],-29.59437045072872,14.543386015342321,0.04186069901111425,-58.09888325406315,-1.089857647394286
C(state_po)[T.MI],-26.00767717526014,14.524586398749403,0.07335802924328784,-54.475343407149296,2.459989056629013
C(state_po)[T.MN],-30.16041683183068,14.546309366604959,0.03813443614874627,-58.670659298354046,-1.6501743653073149
C(state_po)[T.MO],-31.97935787928096,14.554746768345218,0.028007792653157306,-60.50613734933833,-3.452578409223591
C(state_po)[T.MS],-26.318569218404054,14.59627833705889,0.07137229871831124,-54.92674906736167,2.2896106305535646
C(state_po)[T.MT],-29.6372817597597,14.830123594051082,0.045667740216945654,-58.70378989037752,-0.5707736291418719
C(state_po)[T.NC],-25.387684828644364,14.559040332295368,0.0811984000480273,-53.92287952940934,3.1475098721206187
C(state_po)[T.ND],-29.35811379055218,14.663463135389287,0.045271086548297666,-58.09797342454596,-0.6182541565584003
C(state_po)[T.NE],-30.49376895103684,14.637693642751907,0.03722972589760088,-59.18312130756149,-1.804416594512194
C(state_po)[T.NH],-28.94517888561062,14.516331152696333,0.04615495625572082,-57.39666513255224,-0.4936926386689997
C(state_po)[T.NJ],-29.978488971036743,14.523160534654421,0.039000186719217504,-58.443360560652884,-1.5136173814206018
C(state_po)[T.NM],-31.244184966190712,14.839223862158395,0.03524664049613314,-60.32852929454853,-2.159840637832893
C(state_po)[T.NV],-30.330003618703117,14.693169017320457,0.03899640883070665,-59.12808571141099,-1.5319215259952443
C(state_po)[T.NY],-28.495982386909585,14.5163169566527,0.049642554494488816,-56.94744081011696,-0.04452396370220768
C(state_po)[T.OH],-30.441754206331765,14.518452389160654,0.03601455788583423,-58.89739800034614,-1.9861104123173838
C(state_po)[T.OK],-29.4199506689195,14.571832775579436,0.043491354547230125,-57.98021809779553,-0.8596832400434735
C(state_po)[T.OR],-29.95376456081302,14.693525238037688,0.041493065105892984,-58.752544833297215,-1.1549842883288264
C(state_po)[T.PA],-32.61810297419657,14.526646430371809,0.024742593113203114,-61.089806793872654,-4.146399154520484
C(state_po)[T.RI],-29.279281476283913,14.586426300522737,0.04471810879573739,-57.868151688456294,-0.6904112641115283
