case,phi,agent_Y,reference_Y,abs_diff_Y,agent_w,reference_w,abs_diff_w,agent_R,reference_R,abs_diff_R,agent_wage_bill,reference_wage_bill,abs_diff_wage_bill,agent_capital_income,reference_capital_income,abs_diff_capital_income
left,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
left,0.01,1.0201999591920017,1.0201999591920017,0.0,1.020095878396328,1.020095878396328,0.0,0.00010408079567353619,0.00010408079567353619,0.0,1.020095878396328,1.020095878396328,0.0,0.00010408079567353619,0.00010408079567353619,0.0
left,0.02,1.0407993338884265,1.0407993338884265,0.0,1.0403660285870575,1.0403660285870575,0.0,0.00043330530136903697,0.00043330530136903697,0.0,1.0403660285870575,1.0403660285870575,0.0,0.00043330530136903697,0.00043330530136903697,0.0
left,0.03,1.0617965597791463,1.0617965597791463,0.0,1.0607818890382232,1.0607818890382232,0.0,0.0010146707409229472,0.0010146707409229472,0.0,1.0607818890382232,1.0607818890382232,0.0,0.0010146707409229472,0.0010146707409229472,0.0
left,0.04,1.0831889081455806,1.0831889081455806,0.0,1.0813116310084132,1.0813116310084132,0.0,0.0018772771371673841,0.0018772771371673841,0.0,1.0813116310084132,1.0813116310084132,0.0,0.0018772771371673841,0.0018772771371673841,0.0
left,0.05,1.1049723756906078,1.1049723756906078,0.0,1.1019199658130094,1.1019199658130094,0.0,0.003052409877598365,0.003052409877598365,0.0,1.1019199658130094,1.1019199658130094,0.0,0.003052409877598365,0.003052409877598365,0.0
left,0.06,1.127141568981064,1.127141568981064,0.0,1.1225679557615735,1.1225679557615735,0.0,0.004573613219490341,0.004573613219490341,0.0,1.1225679557615735,1.1225679557615735,0.0,0.004573613219490341,0.004573613219490341,0.0
left,0.07,1.1496895838123709,1.1496895838123709,0.0,1.1432128317306502,1.1432128317306502,0.0,0.006476752081720647,0.006476752081720647,0.0,1.1432128317306502,1.1432128317306502,0.0,0.006476752081720647,0.006476752081720647,0.0
left,0.08,1.172607879924953,1.172607879924953,0.0,1.1638078207885558,1.1638078207885558,0.0,0.008800059136397398,0.008800059136397398,0.0,1.1638078207885558,1.1638078207885558,0.0,0.008800059136397398,0.008800059136397398,0.0
left,0.09,1.1958861516383639,1.1958861516383639,0.0,1.1843019877681524,1.1843019877681524,0.0,0.011584163870211368,0.011584163870211368,0.0,1.1843019877681524,1.1843019877681524,0.0,0.011584163870211368,0.011584163870211368,0.0
